# k1 k2
-2.46073 0.0917973
-1.87295 0.029579
-0.0246468 0.0226371
-2.45483 0.0888224
-1.90318 -0.0435907
-1.87603 -0.00382343
-0.0128035 0.0380172
-1.87271 -0.091047
0.00439852 0.0525444
-1.88329 -0.0748662
0.0119566 0.0673035
-1.8941 -0.0586115
0.0120611 0.0723551
-1.89762 -0.0367863
0.00446815 0.0658382
-1.92679 -0.0422175
-0.00570271 0.052113
-1.93403 -0.0871908
-0.0119238 0.0372942
-1.89527 -0.107445
-2.48587 -0.0323223
-0.0176134 0.0192829
-2.47104 0.0223882
-1.85231 -0.0413774
-0.0212771 0.000646176
-2.47774 0.0543301
-1.82024 -0.0275794
-0.0249586 -0.0168563
-2.44621 0.0687132
-1.82114 0.0275664
-0.0304424 -0.047644
-2.45608 0.0391008
-1.82908 0.0139277
-0.0382746 -0.056984
-2.49151 -0.0253808
-1.83671 -0.061329
-0.0546588 -0.0403701
-2.50072 -0.0249225
-1.83723 -0.101709
-0.055409 -0.0258215
-2.49027 0.0172516
-1.83658 -0.0536248
-0.0574474 -0.00724125
-2.46457 0.0369963
-1.84992 -0.00645895
-0.0518781 0.00821786
-2.46164 0.00709332
-1.85843 -0.0296187
-0.0465886 0.00863493
-2.43915 -0.0145571
-1.86075 -0.0968114
-0.0412009 0.00502018
-2.44967 -0.0219603
-1.85035 -0.120724
-0.0393945 0.00284122
-2.44275 0.0115283
-1.83351 -0.0576526
-0.0466429 -0.00463159
-2.41064 0.0574295
-1.83332 0.0130863
-0.0514456 0.00446922
-2.41503 0.0298263
-1.83583 0.00754061
-0.0553252 0.0116384
-2.45626 -0.0354263
-1.83883 -0.0657117
-0.0520697 0.0289613
-2.4712 -0.0370292
-1.82572 -0.0934658
-0.0514063 0.0465016
-2.44448 0.00191279
-1.80856 -0.0617335
-0.0593324 0.0535063
-2.41699 0.0413068
-1.86793 -0.0257898
-0.0141781 0.0134965
-1.1394 -0.04067
-0.00294846 0.0236699
-1.13525 -0.0522234
0.00625678 -0.00228074
-1.12631 -0.0234195
0.0087264 -0.0441148
-1.12219 0.00260737
0.00751706 -0.0780688
-1.12145 0.00910865
0.000188446 -0.0957571
-1.12161 -0.0343559
-0.00819445 -0.0925981
-1.11967 -0.0700421
-0.0740327 -0.00773626
-1.1193 -0.0679563
-0.0726337 -0.0062627
-1.11949 -0.0374488
-0.0671156 -0.00823974
-1.13983 -0.0161771
-0.0704137 -0.0188456
-1.154 -0.0128437
-0.069731 -0.0264303
-1.13827 -0.0357995
-0.0637982 -0.0202964
-1.1361 -0.0354199
-0.0605981 -0.0071228
-1.15611 0.0048038
-0.0447514 0.0170827
-1.15787 0.00717456
-0.0357685 0.0306813
-1.1458 -0.0320393
-0.0219235 0.0486115
-1.13578 -0.0524873
-0.015807 0.0645913
-1.1263 -0.0525797
-0.0159724 0.0682384
-1.12895 -0.0424447
-0.0185159 0.0628455
-1.13741 -0.0333401
-0.0236035 0.0496344
-1.1371 -0.0481973
-0.0200828 0.0370216
-1.13627 -0.0661431
-0.0186566 0.0199306
-1.13434 -0.0358722
-0.0170141 0.00282222
-1.13609 0.00545479
-0.00731036 -0.0242778
-1.14558 0.0105372
-0.0146889 -0.0518618
-1.14509 -0.0191019
-0.0180347 -0.0562902
-1.14453 -0.0523804
-0.0225684 -0.044614
-1.14449 -0.0432504
-0.0309273 -0.017207
-1.14939 -0.0159654
-0.0314784 0.00213136
-1.16268 -0.0143717
-0.0294756 0.0165838
-1.17065 -0.0444142
-0.0283399 0.0163144
-1.17639 -0.0721826
-0.0278695 0.0118708
-1.17378 -0.0557032
-0.0282373 0.0115887
-1.17602 -0.0207226
-0.035573 0.00331696
-1.1833 -0.00819909
-0.0396777 0.0158486
-1.18107 -0.0327242
-0.0464586 0.0233652
-1.17526 -0.0573582
-0.0478168 0.0420893
-1.16664 -0.0398835
-0.046346 0.058389
-1.17682 -0.0360142
-0.054998 0.0565015
-1.19367 -0.0210966
-0.0294705 0.00947331
-0.862724 -0.0191151
-0.0210073 -0.00215085
-0.884008 0.0162348
-0.018143 -0.0291562
-0.87381 0.0105133
-0.0100761 -0.0717941
-0.870284 0.0173153
-0.0051166 -0.101569
-0.870629 0.015627
-0.00322122 -0.108202
-0.878183 0.00122613
-0.00327196 -0.0993744
-0.867045 0.00102043
-0.0797346 0.00162489
-0.825097 -0.00793612
-0.0765098 0.00302129
-0.827674 0.004648
-0.0657565 0.00209045
-0.831376 0.00937716
-0.0654644 -0.00818643
-0.907103 0.00466784
-0.0649607 -0.0164493
-0.869251 0.0384195
-0.0617506 -0.010439
-0.826581 0.0261319
-0.0652034 -0.00152321
-0.894979 0.00464166
-0.0576597 0.0172189
-0.90783 0.0108445
-0.0544454 0.0264046
-0.885066 0.0300905
-0.0451073 0.0429216
-0.830482 0.0179025
-0.0386635 0.0582753
-0.824304 0.0180586
