# k1 k2
0.00902843 0.889263 
-0.0184688 0.0282917 
0.898124 0.0364067 
-0.0131926 0.0272346 
0.898623 0.0215816 
-0.00787566 0.0286878 
0.901456 -0.0120838 
-0.00440588 0.0344807 
-0.0208544 0.909613 
-0.0124621 0.040346 
0.00346895 0.908305 
-0.0263893 0.0461253 
0.0243435 0.899068 
-0.0441794 0.0483611 
0.00666726 0.896331 
-0.0567185 0.0422296 
0.877966 -0.00303275 
-0.0602779 0.0353409 
-0.00650501 0.846987 
-0.0300822 0.0228256 
0.789543 0.0244584 
-0.0103833 0.0241722 
0.850568 0.0129995 
0.0314079 0.0185104 
0.834914 1.92571e-05 
0.0756396 0.00958059 
0.833386 -0.0104084 
0.10694 0.00392785 
-0.0132637 0.833321 
0.11468 0.00234535 
-0.00123599 0.832116 
0.100695 0.00215445 
0.0171979 0.787446 
-0.00149478 0.0830552 
0.798083 0.032543 
-0.00360909 0.074643 
0.016204 0.831869 
-0.00173579 0.0690069 
0.00694749 0.832238 
0.0081472 0.0652618 
0.00636967 0.865366 
0.0157048 0.0626715 
-0.0143609 0.818151 
0.00992041 0.062081 
0.803257 -0.000608785 
-0.00303073 0.0618835 
0.871711 -0.00187051 
-0.0189208 0.0582308 
-0.0219526 0.869036 
-0.0291 0.0518994 
-0.0117463 0.795913 
-0.0430772 0.045168 
0.798108 0.00498852 
-0.0577519 0.040146 
0.828057 0.00383785 
-0.0623431 0.036658 
0.831276 0.0106204 
-0.0608647 0.0318282 
0.831946 0.00991075 
-0.0512918 0.0241382 
0.0155133 0.828636 
-0.0392377 0.0147605 
0.823914 0.0172279 
-0.0209546 0.00717819 
0.856876 0.00609176 
-0.0041555 0.00770678 
0.851982 -0.0274945 
0.0298382 -0.00287222 
-0.0273352 0.830235 
0.0566837 -0.00272263 
-0.0167503 0.827767 
0.0556662 -0.00298765 
0.000848834 0.827984 
0.0315885 -0.00331883 
0.833802 0.00397033 
0.00453518 -0.00537026 
0.842689 -0.00752628 
-0.0265458 0.00149843 
0.850118 -0.0119965 
-0.0360923 0.00458967 
-0.00103521 0.855251 
0.00928658 -0.0314524 
0.861192 0.0204672 
0.012447 -0.0234025 
0.868292 0.0236231 
0.0146151 -0.0163518 
0.873402 0.00900174 
0.0184811 -0.0141368 
0.873029 -0.000591031 
-0.0237252 0.0214205 
0.000936158 0.867412 
-0.0384323 0.0273269 
0.00868722 0.861761 
-0.0572468 0.032321 
0.00132885 0.859512 
-0.067981 0.0311097 
0.851775 0.0049521 
-0.0640086 0.0281986 
0.0110722 0.873637 
-0.00809708 0.0376008 
0.446449 0.0119396 
0.0198305 0.0452492 
0.511878 0.00768979 
0.0425391 0.0672367 
0.523943 0.000242842 
0.106149 0.035401 
0.52497 0.00201121 
0.127637 0.0246425 
0.00138959 0.525915 
0.124128 0.0132985 
0.00472931 0.52325 
0.00216771 0.103796 
0.0157447 0.51811 
-0.00818907 0.0829545 
0.0206823 0.515787 
-0.0119609 0.0697934 
0.0184793 0.518076 
-0.0110888 0.0605836 
0.0133858 0.519946 
-0.0018589 0.055578 
0.00257112 0.516939 
0.00516681 0.0529652 
-0.00845063 0.510803 
0.000905078 0.0545213 
-0.0112318 0.507117 
-0.00861655 0.0587086 
-0.00802321 0.507144 
-0.0195121 0.0608354 
-0.00854518 0.504877 
-0.0258094 0.059759 
-0.00877168 0.497253 
-0.037778 0.0561543 
-0.00905149 0.488003 
-0.0509324 0.0506643 
0.484632 -0.000982545 
-0.0574037 0.0426527 
0.487854 0.0121097 
-0.0601537 0.0312541 
0.492201 0.0153418 
-0.052808 0.0183236 
0.492288 0.0147364 
-0.040599 0.00643148 
0.488625 0.00964423 
-0.0187643 -0.00169207 
0.487531 -0.00636538 
0.00752168 -0.00644425 
0.490835 -0.0152886 
0.0360376 -0.00862266 
0.493212 -0.0152725 
0.0582823 -0.0105877 
-0.0120583 0.491235 
0.0476001 -0.0145511 
-0.00524445 0.487454 
0.0176736 -0.021037 
-0.00324391 0.487721 
-0.0050638 -0.0347649 
-0.00595766 0.494445 
-0.00995439 -0.052299 
-0.00742217 0.503087 
-0.00557656 -0.0545023 
-0.00378097 0.50892 
0.00269889 -0.0472078 
0.513668 0.010049 
0.00813836 -0.0384449 
0.521703 0.0188038 
0.00863281 -0.0315698 
0.532592 0.0168182 
0.00644039 -0.0295416 
0.540521 0.0134852 
0.00391074 -0.0378141 
0.00814173 0.540691 
-0.0504339 0.00833059 
0.00145472 0.535587 
-0.0652916 0.0143456 
-0.00807578 0.532658 
-0.066734 0.0181725 
0.535438 -0.00249147 
-0.0516438 0.0178711 
0.0123857 0.588932 
0.0173248 0.0552926 
0.224726 0.00406964 
0.0390819 0.0742449 
0.277926 0.00300882 
0.0574087 0.104606 
0.293585 0.00434489 
0.131414 0.0582622 
0.296307 0.0127848 
0.139024 0.0479043 
0.0122406 0.296418 
0.0303374 0.123968 
0.00935077 0.292813 
0.00959707 0.0979198 
0.0144998 0.28786 
-0.00850754 0.0743727 
0.0182868 0.284732 
-0.0162839 0.0585632 
0.0179481 0.283289 
-0.0176337 0.0482265 
0.014552 0.280469 
-0.010529 0.0425746 
0.00194115 0.274199 
-0.00499536 0.0384576 
-0.01065 0.266784 
-0.00786717 0.0384363 
-0.0140482 0.261199 
-0.0147125 0.0421151 
-0.00985434 0.257606 
-0.0208227 0.0457562 
0.253031 -0.00967129 
-0.0238005 0.0474846 
0.247491 -0.00994896 
-0.0347058 0.0469721 
0.243719 -0.0102357 
-0.0478709 0.0438034 
0.245224 -0.000847609 
-0.0575683 0.0370363 
0.0148019 0.250001 
-0.064007 0.0271295 
0.0153392 0.253386 
-0.0573163 0.0170184 
0.253469 0.0105041 
-0.041793 0.0082088 
0.251858 0.00458031 
-0.0148229 0.00212019 
0.251589 -0.00873798 
0.0147011 -0.00214079 
0.25325 -0.0111809 
0.0417326 -0.00499008 
0.252997 -0.00763504 
0.0549121 -0.00914622 
-0.00721036 0.249552 
0.0356818 -0.0175966 
-0.00469877 0.246249 
0.00749516 -0.0341243 
-0.0040533 0.246599 
-0.00751289 -0.0574627 
-0.00509378 0.251084 
-0.0105995 -0.0699991 
-0.00630277 0.257208 
-0.00433764 -0.0653201 
-0.00633442 0.262621 
0.00534002 -0.0562642 
0.00405427 0.26848 
0.0103832 -0.0479276 
0.0153801 0.276372 
0.00618677 -0.0422186 
0.0188929 0.284274 
-0.00280225 -0.0403842 
0.0185311 0.288612 
-0.00917879 -0.0460293 
0.0114554 0.28781 
-0.0528326 -0.00651826 
-0.00104054 0.284514 
-0.0596012 -0.000618593 
-0.013965 0.283528 
